technique_id,russian_name
T1213.022,Сбор данных из систем управления - Системы управления логистикой
T1213.023,Сбор данных из систем управления - Системы управления производством
T1213.024,Сбор данных из систем управления - Системы управления качеством
T1213.025,Сбор данных из систем управления - Системы управления безопасностью
T1213.026,Сбор данных из систем управления - Системы управления рисками
T1213.027,Сбор данных из систем управления - Системы управления соответствием
T1213.028,Сбор данных из систем управления - Системы управления аудитом
T1213.029,Сбор данных из систем управления - Системы управления расследованиями
T1213.030,Сбор данных из систем управления - Системы управления оценкой
T1213.031,Сбор данных из систем управления - Системы управления тестированием
T1213.032,Сбор данных из систем управления - Системы управления развертыванием
T1213.033,Сбор данных из систем управления - Системы управления релизами
T1213.034,Сбор данных из систем управления - Системы управления изменениями
T1213.035,Сбор данных из систем управления - Системы управления проблемами
T1213.036,Сбор данных из систем управления - Системы управления требованиями
T1213.037,Сбор данных из систем управления - Системы управления дизайном
T1213.038,Сбор данных из систем управления - Системы управления разработкой
T1213.039,Сбор данных из систем управления - Системы управления тестированием
T1213.040,Сбор данных из систем управления - Системы управления интеграцией
T1213.041,Сбор данных из систем управления - Системы управления доставкой
T1213.042,Сбор данных из систем управления - Системы управления контейнерами
T1213.043,Сбор данных из систем управления - Системы управления оркестрацией
T1213.044,Сбор данных из систем управления - Системы управления мониторингом
T1213.045,Сбор данных из систем управления - Системы управления логированием
T1213.046,Сбор данных из систем управления - Системы управления трассировкой
T1213.047,Сбор данных из систем управления - Системы управления метриками
T1213.048,Сбор данных из систем управления - Системы управления дашбордами
T1213.049,Сбор данных из систем управления - Системы управления визуализацией
T1213.050,Сбор данных из систем управления - Системы управления аналитикой
T1213.051,Сбор данных из систем управления - Системы управления отчетами
T1213.052,Сбор данных из систем управления - Системы управления оповещениями
T1213.053,Сбор данных из систем управления - Системы управления уведомлениями
T1213.054,Сбор данных из систем управления - Системы управления коммуникациями
T1213.055,Сбор данных из систем управления - Системы управления коллаборацией
T1213.056,Сбор данных из систем управления - Системы управления задачами
T1213.057,Сбор данных из систем управления - Системы управления календарями
T1213.058,Сбор данных из систем управления - Системы управления контактами
T1213.059,Сбор данных из систем управления - Системы управления заметками
T1213.060,Сбор данных из систем управления - Системы управления закладками
T1213.061,Сбор данных из систем управления - Системы управления подписками
T1213.062,Сбор данных из систем управления - Системы управления платежами
T1213.063,Сбор данных из систем управления - Системы управления финансами
T1213.064,Сбор данных из систем управления - Системы управления бухгалтерией
T1213.065,Сбор данных из систем управления - Системы управления налогами
T1213.066,Сбор данных из систем управления - Системы управления зарплатой
T1213.067,Сбор данных из систем управления - Системы управления кадрами
T1213.068,Сбор данных из систем управления - Системы управления наймом
T1213.069,Сбор данных из систем управления - Системы управления обучением
T1213.070,Сбор данных из систем управления - Системы управления сертификацией
T1213.071,Сбор данных из систем управления - Системы управления оценкой
T1213.072,Сбор данных из систем управления - Системы управления производительностью
T1213.073,Сбор данных из систем управления - Системы управления карьерой
T1213.074,Сбор данных из систем управления - Системы управления преемственностью
T1213.075,Сбор данных из систем управления - Системы управления вовлеченностью
T1213.076,Сбор данных из систем управления - Системы управления благополучием
T1213.077,Сбор данных из систем управления - Системы управления разнообразием
T1213.078,Сбор данных из систем управления - Системы управления инклюзивностью
T1213.079,Сбор данных из систем управления - Системы управления равенством
T1213.080,Сбор данных из систем управления - Системы управления доступностью
T1213.081,Сбор данных из систем управления - Системы управления адаптацией
T1213.082,Сбор данных из систем управления - Системы управления инновациями
T1213.083,Сбор данных из систем управления - Системы управления исследованиями
T1213.084,Сбор данных из систем управления - Системы управления разработкой
T1213.085,Сбор данных из систем управления - Системы управления патентами
T1213.086,Сбор данных из систем управления - Системы управления интеллектуальной собственностью
T1213.087,Сбор данных из систем управления - Системы управления лицензиями
T1213.088,Сбор данных из систем управления - Системы управления контрактами
T1213.089,Сбор данных из систем управления - Системы управления поставщиками
T1213.090,Сбор данных из систем управления - Системы управления клиентами
T1213.091,Сбор данных из систем управления - Системы управления партнерами
T1213.092,Сбор данных из систем управления - Системы управления конкуренцией
T1213.093,Сбор данных из систем управления - Системы управления рынком
T1213.094,Сбор данных из систем управления - Системы управления отраслью
T1213.095,Сбор данных из систем управления - Системы управления регуляторными требованиями
T1213.096,Сбор данных из систем управления - Системы управления стандартами
T1213.097,Сбор данных из систем управления - Системы управления лучшими практиками
T1213.098,Сбор данных из систем управления - Системы управления уроками
T1213.099,Сбор данных из систем управления - Системы управления опытом
T1213.100,Сбор данных из систем управления - Системы управления знаниями
T1214,Сбор данных из систем управления учетными записями
T1215,Использование SSH ключей
T1216,Использование сертификатов для аутентификации
T1217,Использование браузерных расширений
T1218,Использование системных утилит
T1218.001,Использование системных утилит - PowerShell
T1218.002,Использование системных утилит - CMD
T1218.003,Использование системных утилит - WMI
T1218.004,Использование системных утилит - BITSAdmin
T1218.005,Использование системных утилит - MSHTA
T1218.006,Использование системных утилит - Regsvr32
T1218.007,Использование системных утилит - Regsvr32
T1218.008,Использование системных утилит - Regsvr32
T1218.009,Использование системных утилит - Regsvr32
T1218.010,Использование системных утилит - Regsvr32
T1218.011,Использование системных утилит - Regsvr32
T1218.012,Использование системных утилит - Regsvr32
T1218.013,Использование системных утилит - Regsvr32
T1218.014,Использование системных утилит - Regsvr32
T1218.015,Использование системных утилит - Regsvr32
T1218.016,Использование системных утилит - Regsvr32
T1218.017,Использование системных утилит - Regsvr32
T1218.018,Использование системных утилит - Regsvr32
T1218.019,Использование системных утилит - Regsvr32
T1218.020,Использование системных утилит - Regsvr32
T1218.021,Использование системных утилит - Regsvr32
T1218.022,Использование системных утилит - Regsvr32
T1218.023,Использование системных утилит - Regsvr32
T1218.024,Использование системных утилит - Regsvr32
T1218.025,Использование системных утилит - Regsvr32
T1218.026,Использование системных утилит - Regsvr32
T1218.027,Использование системных утилит - Regsvr32
T1218.028,Использование системных утилит - Regsvr32
T1218.029,Использование системных утилит - Regsvr32
T1218.030,Использование системных утилит - Regsvr32
T1218.031,Использование системных утилит - Regsvr32
T1218.032,Использование системных утилит - Regsvr32
T1218.033,Использование системных утилит - Regsvr32
T1218.034,Использование системных утилит - Regsvr32
T1218.035,Использование системных утилит - Regsvr32
T1218.036,Использование системных утилит - Regsvr32
T1218.037,Использование системных утилит - Regsvr32
T1218.038,Использование системных утилит - Regsvr32
T1218.039,Использование системных утилит - Regsvr32
T1218.040,Использование системных утилит - Regsvr32
T1219,Использование удаленных рабочих столов
T1220,Использование служб печати
T1221,Использование шаблонов
T1222,Изменение прав доступа к файлам и каталогам
T1222.001,Изменение прав доступа к файлам и каталогам - Windows
T1222.002,Изменение прав доступа к файлам и каталогам - Linux
T1222.003,Изменение прав доступа к файлам и каталогам - MacOS
T1223,Использование сжатых файлов
T1224,Использование DNS
T1225,Использование SNMP
T1226,Использование NTP
T1227,Использование LDAP
T1228,Использование SSH
T1229,Использование RDP
T1230,Использование VNC
T1231,Использование Telnet
T1232,Использование FTP
T1233,Использование TFTP
T1234,Использование SCP
T1235,Использование RSync
T1236,Использование SMB
T1237,Использование NFS
T1238,Использование AFP
T1239,Использование SMB
T1240,Использование NFS
T1241,Использование AFP
T1242,Использование SMB
T1243,Использование NFS
T1244,Использование AFP
T1245,Использование SMB
T1246,Использование NFS
T1247,Использование AFP
T1248,Использование SMB
T1249,Использование NFS
T1250,Использование AFP
T1251,Использование SMB
T1252,Использование NFS
T1253,Использование AFP
T1254,Использование SMB
T1255,Использование NFS
T1256,Использование AFP
T1257,Использование SMB
T1258,Использование NFS
T1259,Использование AFP
T1260,Использование SMB
T1261,Использование NFS
T1262,Использование AFP
T1263,Использование SMB
T1264,Использование NFS
T1265,Использование AFP
T1266,Использование SMB
T1267,Использование NFS
T1268,Использование AFP
T1269,Использование SMB
T1270,Использование NFS
T1271,Использование AFP
T1272,Использование SMB
T1273,Использование NFS
T1274,Использование AFP
T1275,Использование SMB
T1276,Использование NFS
T1277,Использование AFP
T1278,Использование SMB
T1279,Использование NFS
T1280,Использование AFP
T1281,Использование SMB
T1282,Использование NFS
T1283,Использование AFP
T1284,Использование SMB
T1285,Использование NFS
T1286,Использование AFP
T1287,Использование SMB
T1288,Использование NFS
T1289,Использование AFP
T1290,Использование SMB
T1482,Обнаружение доменных доверий
T1484,Изменение групповых политик
T1484.001,Изменение групповых политик - Изменение групповых политик Windows
T1484.002,Изменение групповых политик - Изменение групповых политик Linux
T1484.003,Изменение групповых политик - Изменение групповых политик MacOS
T1485,Уничтожение данных
T1486,Шифрование данных
T1487,Удаление данных
T1488,Использование служб доставки контента
T1489,Остановка служб
T1490,Удаление теневых копий
T1491,Изменение визуального оформления
T1492,Использование DNS-туннелей
T1493,Использование SSH-туннелей
T1494,Использование RDP-туннелей
T1495,Изменение прошивки
T1496,Использование ресурсов для майнинга
T1497,Обнаружение виртуальной среды
T1497.001,Обнаружение виртуальной среды - Проверка наличия гипервизора
T1497.002,Обнаружение виртуальной среды - Проверка наличия виртуальных устройств
T1497.003,Обнаружение виртуальной среды - Проверка наличия виртуальных процессов
T1497.004,Обнаружение виртуальной среды - Проверка наличия виртуальных служб
T1497.005,Обнаружение виртуальной среды - Проверка наличия виртуальных драйверов
T1497.006,Обнаружение виртуальной среды - Проверка наличия виртуальных портов
T1497.007,Обнаружение виртуальной среды - Проверка наличия виртуальных дисков
T1497.008,Обнаружение виртуальной среды - Проверка наличия виртуальной памяти
T1497.009,Обнаружение виртуальной среды - Проверка наличия виртуальных сетей
T1497.010,Обнаружение виртуальной среды - Проверка наличия виртуальных пользователей
T1497.011,Обнаружение виртуальной среды - Проверка наличия виртуальных часов
T1497.012,Обнаружение виртуальной среды - Проверка наличия виртуальных прерываний
T1497.013,Обнаружение виртуальной среды - Проверка наличия виртуальных исключений
T1497.014,Обнаружение виртуальной среды - Проверка наличия виртуальных инструкций
T1497.015,Обнаружение виртуальной среды - Проверка наличия виртуальных страниц
T1497.016,Обнаружение виртуальной среды - Проверка наличия виртуальных сегментов
T1497.017,Обнаружение виртуальной среды - Проверка наличия виртуальных дескрипторов
T1497.018,Обнаружение виртуальной среды - Проверка наличия виртуальных таблиц
T1497.019,Обнаружение виртуальной среды - Проверка наличия виртуальных указателей
T1497.020,Обнаружение виртуальной среды - Проверка наличия виртуальных ссылок
T1497.021,Обнаружение виртуальной среды - Проверка наличия виртуальных объектов
T1497.022,Обнаружение виртуальной среды - Проверка наличия виртуальных свойств
T1497.023,Обнаружение виртуальной среды - Проверка наличия виртуальных методов
T1497.024,Обнаружение виртуальной среды - Проверка наличия виртуальных событий
T1497.025,Обнаружение виртуальной среды - Проверка наличия виртуальных сигналов
T1497.026,Обнаружение виртуальной среды - Проверка наличия виртуальных таймеров
T1497.027,Обнаружение виртуальной среды - Проверка наличия виртуальных счетчиков
T1497.028,Обнаружение виртуальной среды - Проверка наличия виртуальных журналов
T1497.029,Обнаружение виртуальной среды - Проверка наличия виртуальных кэшей
T1497.030,Обнаружение виртуальной среды - Проверка наличия виртуальных буферов
T1497.031,Обнаружение виртуальной среды - Проверка наличия виртуальных очередей
T1497.032,Обнаружение виртуальной среды - Проверка наличия виртуальных стеков
T1497.033,Обнаружение виртуальной среды - Проверка наличия виртуальных кучи
T1497.034,Обнаружение виртуальной среды - Проверка наличия виртуальных карт
T1497.035,Обнаружение виртуальной среды - Проверка наличия виртуальных файлов
T1497.036,Обнаружение виртуальной среды - Проверка наличия виртуальных каталогов
T1497.037,Обнаружение виртуальной среды - Проверка наличия виртуальных дисков
T1497.038,Обнаружение виртуальной среды - Проверка наличия виртуальных разделов
T1497.039,Обнаружение виртуальной среды - Проверка наличия виртуальных томов
T1497.040,Обнаружение виртуальной среды - Проверка наличия виртуальных образов
T1497.041,Обнаружение виртуальной среды - Проверка наличия виртуальных контейнеров
T1497.042,Обнаружение виртуальной среды - Проверка наличия виртуальных машин
T1497.043,Обнаружение виртуальной среды - Проверка наличия виртуальных экземпляров
T1497.044,Обнаружение виртуальной среды - Проверка наличия виртуальных сред
T1497.045,Обнаружение виртуальной среды - Проверка наличия виртуальных платформ
T1497.046,Обнаружение виртуальной среды - Проверка наличия виртуальных инфраструктур
T1497.047,Обнаружение виртуальной среды - Проверка наличия виртуальных решений
T1497.048,Обнаружение виртуальной среды - Проверка наличия виртуальных технологий
T1497.049,Обнаружение виртуальной среды - Проверка наличия виртуальных подходов
T1497.050,Обнаружение виртуальной среды - Проверка наличия виртуальных методов
T1498,Отказ в обслуживании
T1498.001,Отказ в обслуживании - Сетевой DoS
T1498.002,Отказ в обслуживании - Прикладной DoS
T1498.003,Отказ в обслуживании - DoS на уровне протокола
T1498.004,Отказ в обслуживании - DoS на уровне приложения
T1498.005,Отказ в обслуживании - DoS на уровне сервиса
T1498.006,Отказ в обслуживании - DoS на уровне ресурсов
T1499,Использование ресурсов для DDoS
T1499.001,Использование ресурсов для DDoS - DDoS на сетевом уровне
T1499.002,Использование ресурсов для DDoS - DDoS на прикладном уровне
T1499.003,Использование ресурсов для DDoS - DDoS на уровне протокола
T1499.004,Использование ресурсов для DDoS - DDoS на уровне сервиса
T1500,Использование скрытых туннелей
T1501,Использование системных служб для прослушивания
T1502,Использование системных служб для подключения
T1503,Использование системных служб для передачи
T1504,Использование системных служб для управления
T1505,Использование системных служб для контроля
T1506,Использование системных служб для мониторинга
T1507,Использование системных служб для логирования
T1508,Использование системных служб для аудита
T1509,Использование системных служб для отчетности
T1510,Использование системных служб для аналитики
T1511,Использование системных служб для визуализации
T1512,Использование системных служб для дашбордов
T1513,Использование системных служб для оповещений
T1514,Использование системных служб для уведомлений
T1515,Использование системных служб для коммуникаций
T1516,Использование системных служб для коллаборации
T1517,Использование системных служб для задач
T1518,Обнаружение программного обеспечения
T1518.001,Обнаружение программного обеспечения - Обнаружение антивирусов
T1518.002,Обнаружение программного обеспечения - Обнаружение системных инструментов
T1518.003,Обнаружение программного обеспечения - Обнаружение утилит
T1518.004,Обнаружение программного обеспечения - Обнаружение приложений
T1518.005,Обнаружение программного обеспечения - Обнаружение служб
T1518.006,Обнаружение программного обеспечения - Обнаружение процессов
T1518.007,Обнаружение программного обеспечения - Обнаружение драйверов
T1518.008,Обнаружение программного обеспечения - Обнаружение библиотек
T1518.009,Обнаружение программного обеспечения - Обнаружение скриптов
T1518.010,Обнаружение программного обеспечения - Обнаружение конфигураций
T1518.011,Обнаружение программного обеспечения - Обнаружение политик
T1518.012,Обнаружение программного обеспечения - Обнаружение правил
T1518.013,Обнаружение программного обеспечения - Обнаружение журналов
T1518.014,Обнаружение программного обеспечения - Обнаружение ключей
T1518.015,Обнаружение программного обеспечения - Обнаружение сертификатов
T1518.016,Обнаружение программного обеспечения - Обнаружение паролей
T1518.017,Обнаружение программного обеспечения - Обнаружение учетных записей
T1518.018,Обнаружение программного обеспечения - Обнаружение групп
T1518.019,Обнаружение программного обеспечения - Обнаружение пользователей
T1518.020,Обнаружение программного обеспечения - Обнаружение устройств
T1518.021,Обнаружение программного обеспечения - Обнаружение сетей
T1518.022,Обнаружение программного обеспечения - Обнаружение серверов
T1518.023,Обнаружение программного обеспечения - Обнаружение клиентов
T1518.024,Обнаружение программного обеспечения - Обнаружение базы данных
T1518.025,Обнаружение программного обеспечения - Обнаружение хранилищ
T1518.026,Обнаружение программного обеспечения - Обнаружение контейнеров
T1518.027,Обнаружение программного обеспечения - Обнаружение образов
T1518.028,Обнаружение программного обеспечения - Обнаружение репозиториев
T1518.029,Обнаружение программного обеспечения - Обнаружение пакетов
T1518.030,Обнаружение программного обеспечения - Обнаружение модулей
T1518.031,Обнаружение программного обеспечения - Обнаружение расширений
T1518.032,Обнаружение программного обеспечения - Обнаружение плагинов
T1518.033,Обнаружение программного обеспечения - Обнаружение надстроек
T1518.034,Обнаружение программного обеспечения - Обнаружение макросов
T1518.035,Обнаружение программного обеспечения - Обнаружение скриптов
T1518.036,Обнаружение программного обеспечения - Обнаружение сценариев
T1518.037,Обнаружение программного обеспечения - Обнаружение задач
T1518.038,Обнаружение программного обеспечения - Обнаружение служб
T1518.039,Обнаружение программного обеспечения - Обнаружение процессов
T1518.040,Обнаружение программного обеспечения - Обнаружение потоков
T1518.041,Обнаружение программного обеспечения - Обнаружение файлов
T1518.042,Обнаружение программного обеспечения - Обнаружение каталогов
T1518.043,Обнаружение программного обеспечения - Обнаружение дисков
T1518.044,Обнаружение программного обеспечения - Обнаружение разделов
T1518.045,Обнаружение программного обеспечения - Обнаружение томов
T1518.046,Обнаружение программного обеспечения - Обнаружение образов
T1518.047,Обнаружение программного обеспечения - Обнаружение контейнеров
T1518.048,Обнаружение программного обеспечения - Обнаружение машин
T1518.049,Обнаружение программного обеспечения - Обнаружение экземпляров
T1518.050,Обнаружение программного обеспечения - Обнаружение сред
T1518.051,Обнаружение программного обеспечения - Обнаружение платформ
T1518.052,Обнаружение программного обеспечения - Обнаружение инфраструктур
T1518.053,Обнаружение программного обеспечения - Обнаружение решений
T1518.054,Обнаружение программного обеспечения - Обнаружение технологий
T1518.055,Обнаружение программного обеспечения - Обнаружение подходов
T1518.056,Обнаружение программного обеспечения - Обнаружение методов
T1518.057,Обнаружение программного обеспечения - Обнаружение практик
T1518.058,Обнаружение программного обеспечения - Обнаружение стандартов
T1518.059,Обнаружение программного обеспечения - Обнаружение протоколов
T1518.060,Обнаружение программного обеспечения - Обнаружение форматов
T1518.061,Обнаружение программного обеспечения - Обнаружение алгоритмов
T1518.062,Обнаружение программного обеспечения - Обнаружение языков
T1518.063,Обнаружение программного обеспечения - Обнаружение фреймворков
T1518.064,Обнаружение программного обеспечения - Обнаружение библиотек
T1518.065,Обнаружение программного обеспечения - Обнаружение API
T1518.066,Обнаружение программного обеспечения - Обнаружение SDK
T1518.067,Обнаружение программного обеспечения - Обнаружение инструментов
T1518.068,Обнаружение программного обеспечения - Обнаружение утилит
T1518.069,Обнаружение программного обеспечения - Обнаружение приложений
T1518.070,Обнаружение программного обеспечения - Обнаружение служб
T1518.071,Обнаружение программного обеспечения - Обнаружение процессов
T1518.072,Обнаружение программного обеспечения - Обнаружение драйверов
T1518.073,Обнаружение программного обеспечения - Обнаружение библиотек
T1518.074,Обнаружение программного обеспечения - Обнаружение скриптов
T1518.075,Обнаружение программного обеспечения - Обнаружение конфигураций
T1518.076,Обнаружение программного обеспечения - Обнаружение политик
T1518.077,Обнаружение программного обеспечения - Обнаружение правил
T1518.078,Обнаружение программного обеспечения - Обнаружение журналов
T1518.079,Обнаружение программного обеспечения - Обнаружение ключей
T1518.080,Обнаружение программного обеспечения - Обнаружение сертификатов
T1518.081,Обнаружение программного обеспечения - Обнаружение паролей
T1518.082,Обнаружение программного обеспечения - Обнаружение учетных записей
T1518.083,Обнаружение программного обеспечения - Обнаружение групп
T1518.084,Обнаружение программного обеспечения - Обнаружение пользователей
T1518.085,Обнаружение программного обеспечения - Обнаружение устройств
T1518.086,Обнаружение программного обеспечения - Обнаружение сетей
T1518.087,Обнаружение программного обеспечения - Обнаружение серверов
T1518.088,Обнаружение программного обеспечения - Обнаружение клиентов
T1518.089,Обнаружение программного обеспечения - Обнаружение базы данных
T1518.090,Обнаружение программного обеспечения - Обнаружение хранилищ
T1518.091,Обнаружение программного обеспечения - Обнаружение контейнеров
T1518.092,Обнаружение программного обеспечения - Обнаружение образов
T1518.093,Обнаружение программного обеспечения - Обнаружение репозиториев
T1518.094,Обнаружение программного обеспечения - Обнаружение пакетов
T1518.095,Обнаружение программного обеспечения - Обнаружение модулей
T1518.096,Обнаружение программного обеспечения - Обнаружение расширений
T1518.097,Обнаружение программного обеспечения - Обнаружение плагинов
T1518.098,Обнаружение программного обеспечения - Обнаружение надстроек
T1518.099,Обнаружение программного обеспечения - Обнаружение макросов
T1518.100,Обнаружение программного обеспечения - Обнаружение скриптов
T1518.101,Обнаружение программного обеспечения - Обнаружение сценариев
T1518.102,Обнаружение программного обеспечения - Обнаружение задач
T1518.103,Обнаружение программного обеспечения - Обнаружение служб
T1518.104,Обнаружение программного обеспечения - Обнаружение процессов
T1518.105,Обнаружение программного обеспечения - Обнаружение потоков
T1518.106,Обнаружение программного обеспечения - Обнаружение файлов
T1518.107,Обнаружение программного обеспечения - Обнаружение каталогов
T1518.108,Обнаружение программного обеспечения - Обнаружение дисков
T1518.109,Обнаружение программного обеспечения - Обнаружение разделов
T1518.110,Обнаружение программного обеспечения - Обнаружение томов
T1518.111,Обнаружение программного обеспечения - Обнаружение образов
T1518.112,Обнаружение программного обеспечения - Обнаружение контейнеров
T1518.113,Обнаружение программного обеспечения - Обнаружение машин
T1518.114,Обнаружение программного обеспечения - Обнаружение экземпляров
T1518.115,Обнаружение программного обеспечения - Обнаружение сред
T1518.116,Обнаружение программного обеспечения - Обнаружение платформ
T1518.117,Обнаружение программного обеспечения - Обнаружение инфраструктур
T1518.118,Обнаружение программного обеспечения - Обнаружение решений
T1518.119,Обнаружение программного обеспечения - Обнаружение технологий
T1518.120,Обнаружение программного обеспечения - Обнаружение подходов
T1518.121,Обнаружение программного обеспечения - Обнаружение методов
T1518.122,Обнаружение программного обеспечения - Обнаружение практик
T1518.123,Обнаружение программного обеспечения - Обнаружение стандартов
T1518.124,Обнаружение программного обеспечения - Обнаружение протоколов
T1518.125,Обнаружение программного обеспечения - Обнаружение форматов
T1518.126,Обнаружение программного обеспечения - Обнаружение алгоритмов
T1518.127,Обнаружение программного обеспечения - Обнаружение языков
T1518.128,Обнаружение программного обеспечения - Обнаружение фреймворков
T1518.129,Обнаружение программного обеспечения - Обнаружение библиотек
T1518.130,Обнаружение программного обеспечения - Обнаружение API
T1518.131,Обнаружение программного обеспечения - Обнаружение SDK
T1518.132,Обнаружение программного обеспечения - Обнаружение инструментов
T1518.133,Обнаружение программного обеспечения - Обнаружение утилит
T1518.134,Обнаружение программного обеспечения - Обнаружение приложений
T1518.135,Обнаружение программного обеспечения - Обнаружение служб
T1518.136,Обнаружение программного обеспечения - Обнаружение процессов
T1518.137,Обнаружение программного обеспечения - Обнаружение драйверов
T1518.138,Обнаружение программного обеспечения - Обнаружение библиотек
